variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
none,0.5,0,49018,0.3320413312632933,0.225,0.025092243887053254,2.02302280809374,0.0,0.14918744819758295,0.22225722579770366
stage1,0.5,0,49018,0.3320457155025621,0.225,0.025092158640741487,2.0185851587957466,0.0,0.14920409927879144,0.2226992867824301
stage2,0.5,0,43570,0.4085783941830249,0.225,0.025849750356822895,2.677175424752615,0.07692307692307691,0.011760433140848925,0.29915491853833337
both,0.5,0,43570,0.4107385293042852,0.225,0.025832772590203786,2.6896327178832746,0.07692307692307691,0.012357464975027864,0.2987338443781404
none,0.5,1,57166,0.3466927867495867,0.2916666666666667,0.0185944656287359,2.218150282802383,0.0,0.19023149349126772,0.21014415467788994
stage1,0.5,1,57166,0.3466249875466532,0.2916666666666667,0.018599224708932997,2.2183792619331624,0.0,0.19016975478893752,0.21016085198733378
stage2,0.5,1,51758,0.4143593399389077,0.2916666666666667,0.018877782264677883,2.84254462373569,0.0,0.06806264953163131,0.2789184142130594
both,0.5,1,51758,0.4157472406582863,0.2916666666666667,0.018879493033532344,2.8820177404549847,0.07692307692307691,0.06939389431271789,0.27797326353868407
none,0.5,2,50386,0.3334169805211448,0.16666666666666666,0.013410274275473043,2.3064663578932603,0.07692307692307691,0.15426370256002297,0.22654917211682413
stage1,0.5,2,50386,0.3335147644477154,0.16666666666666666,0.013349252678357721,2.306131853421267,0.07692307692307691,0.15423247356343198,0.22654397384093486
stage2,0.5,2,44904,0.4120712848470387,0.15,0.021677479488130695,3.0199824674677815,0.0,0.016449162179044453,0.3000641062535284
both,0.5,2,44904,0.4111666964075062,0.15,0.022034555613280285,3.013066929381186,0.07692307692307691,0.016304088285942223,0.3010883818598059
none,0.5,3,50598,0.33289470591239356,0.1,0.025276879448574294,2.176787291575933,0.07692307692307691,0.14033151945068972,0.22630358219954122
stage1,0.5,3,50598,0.3329158712707267,0.1,0.025276596552052565,2.176172102903534,0.07692307692307691,0.140327636830947,0.22630358634994918
stage2,0.5,3,45121,0.41096558991798665,0.1,0.02603545852531689,2.84675260255547,0.15384615384615383,0.0037229067444043145,0.3014162268206813
both,0.5,3,45121,0.4117539706010866,0.1,0.026041022552876693,2.8736437546175813,0.15384615384615383,0.004410533596557032,0.2992486874366303
none,0.5,4,57948,0.3421643608114805,0.15,0.02136867342997646,2.2863455396822427,0.15384615384615383,0.1669183116955435,0.24167342335911157
stage1,0.5,4,57948,0.3421144852513324,0.15,0.021368658313604492,2.2862937429655648,0.15384615384615383,0.16692198084728974,0.24167326446497922
stage2,0.5,4,52516,0.41353826043809816,0.15,0.0231216013415416,3.025411247263253,0.23076923076923073,0.039489973511416115,0.3115637864365086
both,0.5,4,52516,0.41278822240040064,0.15,0.023107382993290054,2.9701253708654214,0.15384615384615383,0.0410338928027027,0.3111600544422648
none,0.5,5,56597,0.34128685176412227,0.13333333333333333,0.019801453645725896,2.29255765450612,0.07692307692307691,0.15627865172483751,0.24822966330670806
stage1,0.5,5,56597,0.34129984339228553,0.13333333333333333,0.019806658751895943,2.2927040502119875,0.07692307692307691,0.15628485002629433,0.24823186734416372
stage2,0.5,5,51122,0.41108265101592767,0.11666666666666667,0.026765804452843708,3.0899501991146905,0.15384615384615383,0.021403196205405043,0.3221440190007066
both,0.5,5,51122,0.41239985414780295,0.11666666666666667,0.026648703002486902,3.000618817648828,0.23076923076923073,0.022033041459092222,0.32121475975275027
none,0.5,6,42903,0.3215506512394278,0.075,0.029535994113217546,2.3448645912340056,0.07692307692307691,0.16535640868939677,0.22414781340265905
stage1,0.5,6,42903,0.32155369277485535,0.075,0.029535994113217546,2.3448645912340056,0.07692307692307691,0.16535640868939677,0.224143477248508
stage2,0.5,6,37419,0.40833123305135854,0.075,0.031419330573472785,3.032818309172154,0.07692307692307691,0.008772602064405806,0.3027584653431304
both,0.5,6,37419,0.40861854158711813,0.075,0.03147839490799427,3.1021490041419533,0.15384615384615383,0.0050202676483433835,0.30417160571030505
none,0.5,7,71509,0.3622640739243297,0.4166666666666667,0.018117456002269397,2.1356182402713637,0.07692307692307691,0.18954624313020743,0.21749231668945063
stage1,0.5,7,71509,0.3622640739243297,0.4166666666666667,0.018116254794702396,2.136150792571705,0.07692307692307691,0.18956582012759984,0.2174923166894508
stage2,0.5,7,66292,0.41893808521610293,0.4166666666666667,0.01863230883666398,2.7120215848343174,0.23076923076923073,0.09014462583056915,0.2773607145313578
both,0.5,7,66292,0.4203858189938427,0.4166666666666667,0.018627863527701016,2.7158631337905206,0.23076923076923073,0.09038073030868217,0.2774705990159491
none,0.5,8,64591,0.34713611676367156,0.20833333333333334,0.01852527719195364,2.170097260858425,0.23076923076923073,0.17521096791269902,0.22577591104191871
stage1,0.5,8,64591,0.3471361167636716,0.20833333333333334,0.018524932724112337,2.073989758805633,0.23076923076923073,0.17525505877773248,0.22577591104192005
stage2,0.5,8,59207,0.41283995527893164,0.20833333333333334,0.019744781618294856,2.7448626264187195,0.23076923076923073,0.0660746414555216,0.28887307455167666
both,0.5,8,59207,0.4156015415469973,0.20833333333333334,0.019710251939995198,2.784445785559715,0.23076923076923073,0.06611365741934755,0.28810484424204197
none,0.5,9,59945,0.34405640817476335,0.075,0.01870881415288263,2.2113065200767985,0.07692307692307691,0.1676351225854532,0.23792523499694757
stage1,0.5,9,59945,0.34405640817476324,0.075,0.01870912737569319,2.210796704984805,0.07692307692307691,0.16767174907392243,0.23792523499694557
stage2,0.5,9,54504,0.41226599643082956,0.075,0.020410015141045144,2.8415497229196696,0.07692307692307691,0.045584916448810416,0.30663784617268103
both,0.5,9,54504,0.4124337932375633,0.075,0.020393930192395007,2.8530355173167994,0.15384615384615383,0.04524160189269786,0.3061764626551704
none,1.0,0,91451,0.3685132139035729,0.7666666666666667,0.0016093400283372144,1.8108617636708035,0.15384615384615383,0.004172392027346686,0.060783718604116056
stage1,1.0,0,91451,0.3685501048899303,0.7666666666666667,0.0016081544302600592,1.8091738053881556,0.15384615384615383,0.004268608487635595,0.060783718604116056
stage2,1.0,0,87632,0.41979413300784774,0.7666666666666667,0.0016046642560927971,2.273032741508421,0.23076923076923073,0.039237241945046034,0.07605576407314066
both,1.0,0,87632,0.4221120199620193,0.7666666666666667,0.0016043978877091469,2.2932149120214995,0.30769230769230765,0.03893907916552837,0.0756161945390419
none,1.0,1,101192,0.37790452172769845,0.9416666666666667,0.0007172217348801496,1.7011292510582727,0.15384615384615383,0.20522882516508498,0.056480099126922124
stage1,1.0,1,101192,0.37809481285251373,0.9416666666666667,0.0007176948130413686,1.693169884093267,0.15384615384615383,0.2056981734003115,0.0564800991269201
stage2,1.0,1,97769,0.4195975380567193,0.9416666666666667,0.0007129775289599056,2.0882386515700957,0.23076923076923073,0.176897776638253,0.046831353566961935
both,1.0,1,97769,0.42082645873756186,0.9416666666666667,0.0007138559833794072,2.066388004343459,0.23076923076923073,0.17677099994453127,0.04668886134936714
none,1.0,2,96069,0.3706125234329454,0.7416666666666667,0.0011718139727891978,1.7601221505372202,0.07692307692307691,0.0913674357329257,0.04989906321861325
stage1,1.0,2,96069,0.3706944621168622,0.7416666666666667,0.0011753341320402746,1.7608552508625532,0.07692307692307691,0.09164774864049666,0.049906591529533834
stage2,1.0,2,92232,0.41928062367054797,0.75,0.0011674478902922877,2.1681242705466266,0.23076923076923073,0.04972491957274903,0.06772780978447107
both,1.0,2,92232,0.41879473582798127,0.75,0.0011683713086226295,2.1979098250554614,0.15384615384615383,0.049831049039007716,0.06775329722819978
none,1.0,3,87269,0.3646330734122914,0.7083333333333334,0.0015449509596924015,1.7676953119420686,0.15384615384615383,0.06789562501966238,0.08936513384981208
stage1,1.0,3,87269,0.3647356850404495,0.7083333333333334,0.0015366295261179178,1.7667134776868296,0.15384615384615383,0.06801486343301302,0.08936512737208346
stage2,1.0,3,83138,0.4191722477453306,0.7083333333333334,0.0015564539350095786,2.2693671681085736,0.23076923076923073,0.015955828886121716,0.11267584476543356
both,1.0,3,83138,0.4171797865694445,0.7083333333333334,0.001553116303933217,2.2676316111574217,0.15384615384615383,0.01585687639763301,0.11282336211206763
none,1.0,4,96151,0.3666074097404807,0.6666666666666666,0.0011570964198935538,1.765009911121739,0.07692307692307691,0.03961130581218011,0.11821343465119967
stage1,1.0,4,96151,0.3666602697078886,0.6666666666666666,0.001156306435686804,1.7630302514113816,0.07692307692307691,0.03986607590684404,0.11821343924857294
