variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
none,0.5,0,18847,0.2803921852138121,0.36363636363636365,0.011230186342551145,2.84833471810616,0.3636363636363636,0.720221846162277,0.04621617640492611
stage1,0.5,0,18847,0.28039218521381204,0.36363636363636365,0.011226769712893383,2.8659293715355485,0.3636363636363636,0.7200222504522235,0.04621617640492627
stage2,0.5,0,17533,0.32013336459554914,0.36363636363636365,0.015614416331009066,3.16133373411892,0.3636363636363636,0.9543286553327782,0.11590917042639724
both,0.5,0,17533,0.3212896093718871,0.36363636363636365,0.015562970673174213,3.054904995039657,0.3636363636363636,0.9538730348141234,0.11629606918615894
none,0.5,1,15036,0.2613435485418785,0.09090909090909091,0.015972954452390917,3.0974155436084865,0.1818181818181818,0.7346635087735067,0.039823016604253095
stage1,0.5,1,15036,0.2613435485418785,0.09090909090909091,0.015972954452390917,3.0974155436084865,0.1818181818181818,0.7346635087735067,0.039823016604253095
stage2,0.5,1,13678,0.3098890762653019,0.13636363636363635,0.001398873438664705,3.7204979645083536,0.3636363636363636,1.034132030828592,0.1245466463550555
both,0.5,1,13678,0.31264339120906703,0.13636363636363635,0.0018730499983092197,4.04081329147629,0.1818181818181818,1.0367954377879471,0.12549373546967765
none,0.5,2,16364,0.276569709893627,0.09090909090909091,0.005318258834846342,3.126622845327877,0.3636363636363636,0.7107630541591439,0.04507862294486824
stage1,0.5,2,16364,0.27656970989362706,0.09090909090909091,0.005317269762259285,3.124610597484585,0.3636363636363636,0.7106994232431403,0.04507862294486808
stage2,0.5,2,15032,0.3237919150470003,0.09090909090909091,0.019888041390169656,3.671993373714206,0.3636363636363636,0.9836924403458303,0.12429698718356239
both,0.5,2,15032,0.32183124123259876,0.09090909090909091,0.02013441545264336,3.574615441030719,0.3636363636363636,0.9852410725747817,0.12582340890813612
none,0.5,3,14579,0.2651698516118557,0.18181818181818182,0.0035848592356165364,3.1463749069435303,0.2727272727272727,0.7287991344538759,0.03928971049501777
