variant,eps,exper,edges,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
none,0.5,0,61689,0.24079145930228876,0.2,0.006338714725551741,1.4544744107030219,0.0,0.006842076375006328,0.07473954983823271
stage1,0.5,0,61689,0.24079145930228876,0.2,0.0063653096756002975,1.459863864126075,0.0,0.00690483688912907,0.07473954983823271
stage2,0.5,0,57821,0.29672388503188996,0.2,0.01654776212092702,1.8028113554924643,0.12499999999999997,0.1198503142564767,0.015913604090487924
both,0.5,0,57821,0.29652373698185486,0.2,0.016459377103983867,1.7826836221130147,0.12499999999999997,0.11914360767560664,0.016050395266924512
none,0.5,1,66330,0.25548571552976135,0.45,0.0028591861600290288,1.2991190061892894,0.12499999999999997,0.01839461975285221,0.11165505457255956
stage1,0.5,1,66330,0.25548072235144925,0.45,0.0028636377669604375,1.2640464750305374,0.12499999999999997,0.018509463164182553,0.11164720915311019
stage2,0.5,1,62747,0.3030918360926147,0.45,0.0032855011656315936,1.3839691813922372,0.12499999999999997,0.08486321722768995,0.06196096050721025
both,0.5,1,62747,0.30241318849239446,0.45,0.003275641358235895,1.37579299677213,0.12499999999999997,0.0849013701784591,0.06162179792199227
none,0.5,2,54612,0.2419558910666157,0.1,0.012228652799641245,1.9426410823714275,0.0,0.0064711359424566494,0.08309339956577982
stage1,0.5,2,54612,0.2419558910666157,0.1,0.012214940790572556,1.9423722720827257,0.0,0.006429710567014374,0.08309339956577969
stage2,0.5,2,50726,0.30197251137174413,0.1,0.009779473197195653,2.1260372288914438,0.12499999999999997,0.15103712853898427,0.018225639852798636
both,0.5,2,50726,0.30004107590720674,0.1,0.010591983776720456,2.268429745798219,0.12499999999999997,0.1521159646405261,0.017786474974421776
none,0.5,3,63754,0.24721309154047819,0.1,0.01902121559490048,1.3358610720377186,0.0,0.04689388927926544,0.09461620926185817
stage1,0.5,3,63754,0.24721309154047819,0.1,0.019057914471668692,1.3457007785565052,0.0,0.04689283690829227,0.09461620926185804
stage2,0.5,3,59963,0.301673203960726,0.1,0.0163049373421277,1.5264921866674366,0.12499999999999997,0.06591658259627481,0.03907961943264617
both,0.5,3,59963,0.30113903357729044,0.075,0.016125381264939512,1.5521130299564403,0.0,0.06656429972643196,0.038916850538626625
none,0.5,4,65828,0.2519558425566236,0.075,0.010276653551335864,1.3902980159532499,0.12499999999999997,0.07613681092730933,0.10345682775651416
stage1,0.5,4,65828,0.2519558425566236,0.075,0.01028045646013683,1.4255905166878036,0.12499999999999997,0.07625658993077732,0.10345682775651416
stage2,0.5,4,62094,0.3027188930090865,0.075,0.011599858811263792,1.3868601890086687,0.0,0.02813860852601031,0.05057983200000505
both,0.5,4,62094,0.30361627635811855,0.075,0.011589382510219248,1.4263610317606472,0.0,0.02762153253599705,0.050591124220967565
none,0.5,5,71278,0.25579865260970447,0.375,0.007505266783687239,1.1246438789199127,0.0,0.08469244247786759,0.09915786210297792
stage1,0.5,5,71278,0.25579865260970447,0.375,0.007507309215306741,1.1254401394193283,0.0,0.08481191746244061,0.09915786210297844
stage2,0.5,5,67657,0.30059048420381307,0.375,0.010143492315599969,1.2124239524053315,0.12499999999999997,0.008625352638267643,0.049548880184777586
both,0.5,5,67657,0.3010884521297566,0.375,0.01016775337064134,1.1441112794650607,0.12499999999999997,0.009142200159782449,0.049421815852602226
none,0.5,6,58830,0.24449455115888769,0.075,0.0041678622903803435,1.6802303876797609,0.12499999999999997,0.00935643583112077,0.07461929641434577
stage1,0.5,6,58830,0.24449455115888766,0.075,0.004170173476269557,1.6791771681675283,0.12499999999999997,0.009394441387155568,0.07461929641434563
stage2,0.5,6,54946,0.2959494822175395,0.075,0.017576815410660113,1.9654336338907694,0.12499999999999997,0.1270350420917893,0.011952220286449508
both,0.5,6,54946,0.29600619384593885,0.075,0.017559686201953577,1.8946198509417924,0.12499999999999997,0.12652244171781896,0.012007589292112016
none,0.5,7,64670,0.24160514772259042,0.075,0.008556318762254702,1.371677082529954,0.0,0.04827478959409478,0.07968724987931974
stage1,0.5,7,64670,0.24160514772259042,0.075,0.008559096562389975,1.3583868475138825,0.0,0.04830050896748855,0.07968724987931974
stage2,0.5,7,60833,0.2925034286910207,0.075,0.011445463069086703,1.6726953107371434,0.12499999999999997,0.06833175498554613,0.022405191728754225
both,0.5,7,60833,0.2947418903241837,0.075,0.011475186575096816,1.7124855997460824,0.12499999999999997,0.06764907480349903,0.023069685678421492
none,0.5,8,71623,0.2642522545989078,0.5,0.004385940833003915,1.0552649481529581,0.12499999999999997,0.0856023184973817,0.09482859784521477
stage1,0.5,8,71623,0.2642522545989078,0.5,0.004383757557480334,1.0554544127680476,0.12499999999999997,0.0856322407910036,0.09482859784521504
stage2,0.5,8,68081,0.30049498506485306,0.5,0.006203266083101245,1.1154615357987447,0.12499999999999997,0.006233560111821455,0.04520250046720287
both,0.5,8,68081,0.30166067559212884,0.5,0.006195977092620158,1.1351588510769344,0.12499999999999997,0.006749334223058349,0.045232482059556656
none,0.5,9,66606,0.24930041597201122,0.15,0.009571282717496268,1.2308855471927789,0.12499999999999997,0.05295343119490154,0.07964837817656345
stage1,0.5,9,66606,0.24930041597201122,0.15,0.009576926315205837,1.2557005306611202,0.12499999999999997,0.052990369905743975,0.07964837817656412
stage2,0.5,9,62814,0.2957572001875938,0.15,0.014648895891757389,1.4041285611044494,0.12499999999999997,0.057500686283169095,0.02444630064518363
both,0.5,9,62814,0.29674837102134155,0.15,0.014632186245743667,1.4939977494079717,0.12499999999999997,0.05740229730372225,0.024596397752312118
none,1.0,0,85139,0.2737884771786855,0.25,0.009687065533702625,0.6548566400337764,0.0,0.28124557374784787,0.1706265403611881
stage1,1.0,0,85139,0.27438832336565616,0.25,0.009770562719725966,0.6652556586369118,0.0,0.28131194804184806,0.1706027656441549
stage2,1.0,0,82769,0.2974849991056645,0.25,0.009612117588969033,0.6658322300888901,0.24999999999999994,0.24721507451732488,0.14539061724203547
both,1.0,0,82769,0.30005309526971824,0.25,0.00973050746743807,0.6884255986402379,0.0,0.24769336054483476,0.1456945493843732
none,1.0,1,84542,0.26135258864361705,0.625,0.005465687864709736,0.59311922761287,0.12499999999999997,0.2218514295694836,0.2049552811646209
stage1,1.0,1,84542,0.2620809917576936,0.625,0.005460480137951734,0.6385477145480983,0.12499999999999997,0.22455935811626418,0.2049552811646209
stage2,1.0,1,82475,0.2834697600072963,0.625,0.005393126563326179,0.6059260140512257,0.24999999999999994,0.18890758523762172,0.18139266578801838
both,1.0,1,82475,0.2794775181775156,0.625,0.005385163007987087,0.6091451177823662,0.12499999999999997,0.19136901121216102,0.18105284777324154
none,1.0,2,82969,0.2801794092051518,0.65,0.005765428228431466,0.6776726605956852,0.24999999999999994,0.08537113799419146,0.1596836254332661
stage1,1.0,2,82969,0.28056549514825735,0.65,0.00576149049634451,0.6199348872913071,0.24999999999999994,0.08606285347359362,0.15967120605163396
stage2,1.0,2,80901,0.2959069272383607,0.675,0.005562510741711249,0.6420540753232914,0.24999999999999994,0.04347796309015525,0.13435540989458722
both,1.0,2,80901,0.2971329305454503,0.675,0.005549219943926103,0.6808104960438017,0.24999999999999994,0.04429669598637123,0.13437119823511093
none,1.0,3,79237,0.24458537716302176,0.5,0.0042337300746698395,0.6524839006970483,0.12499999999999997,0.11016931429423173,0.09789304504230588
stage1,1.0,3,79237,0.24502398597603542,0.5,0.004259898001117346,0.6480500243585215,0.12499999999999997,0.11033260392501158,0.09789304504230602
stage2,1.0,3,76339,0.2746286431197946,0.525,0.0008834119305819989,0.6722365974735492,0.12499999999999997,0.04771806870323369,0.06129146175350546
both,1.0,3,76339,0.276945757138496,0.525,0.0009218224215112817,0.7065481653074462,0.12499999999999997,0.049020521269711057,0.06137057316658744
none,1.0,4,81340,0.2696355434021198,0.575,0.006220950574786131,0.6108105462954903,0.12499999999999997,0.04687210762161209,0.1299329616597426
stage1,1.0,4,81340,0.27051704564280016,0.575,0.0062288150594209,0.6628968627139518,0.12499999999999997,0.047509242242517666,0.12990013219351876
stage2,1.0,4,78955,0.29386647718954034,0.55,0.0061223270850821725,0.7267278443343204,0.24999999999999994,0.0027464739529926745,0.10136275383579961
both,1.0,4,78955,0.292456974414185,0.55,0.0061291832473403295,0.673922587986861,0.24999999999999994,0.0017393870714645118,0.1011088516699236
none,1.0,5,84578,0.2822767684647225,0.675,0.0059153129864529695,0.7469996190428054,0.12499999999999997,0.0850514956228159,0.1424256678469349
stage1,1.0,5,84578,0.28277645038080723,0.675,0.0059151820917214964,0.7704233820467443,0.12499999999999997,0.08603947323587782,0.1424256678469349
stage2,1.0,5,82502,0.2978897069777668,0.675,0.005778015632104762,0.7394496884233759,0.12499999999999997,0.044002570653149733,0.11710916309456916
both,1.0,5,82502,0.2987881270759614,0.675,0.005773428719030038,0.5986917373083449,0.24999999999999994,0.045024419616029154,0.11721164367124047
none,1.0,6,85123,0.25744619588351314,0.725,0.006031972303314127,0.5376194301982398,0.12499999999999997,0.21089627719160747,0.18221184299925175
stage1,1.0,6,85123,0.2584268022119926,0.725,0.006002895019774891,0.5711791259204467,0.12499999999999997,0.21180227802128176,0.1822006329608427
stage2,1.0,6,82738,0.2728786740214787,0.725,0.005947523730001817,0.5725428165540354,0.12499999999999997,0.1714161045437039,0.1547601081394941
both,1.0,6,82738,0.27539990527788766,0.725,0.005934074801569118,0.5617008135921904,0.12499999999999997,0.17374200165877451,0.15472091500850585
none,1.0,7,81537,0.2609092263685396,0.65,0.006367814390508167,0.7045221811043947,0.0,0.12315812449617793,0.1875036077149617
stage1,1.0,7,81537,0.2613859778608117,0.65,0.006369442782875945,0.7080120505906283,0.0,0.12426174769209042,0.18749016218887724
stage2,1.0,7,79177,0.2919280901479729,0.65,0.006254681363657061,0.8132693507470674,0.12499999999999997,0.07998522104271842,0.16164114003724722
both,1.0,7,79177,0.2928676082418194,0.65,0.006260273889853657,0.7743366141953842,0.12499999999999997,0.08107415868555384,0.16165193044065068
none,1.0,8,84473,0.25822091987159523,0.7,0.006768419819563523,0.6164535146812744,0.12499999999999997,0.34020385471144216,0.24998244707119693
stage1,1.0,8,84473,0.25912552528678395,0.7,0.006880695678074597,0.6169622171658217,0.12499999999999997,0.3405253023554184,0.24998244707119693
stage2,1.0,8,82217,0.2772200411367336,0.7,0.006636855580507764,0.5943423489554847,0.12499999999999997,0.3096206254484859,0.22565764573356786
both,1.0,8,82217,0.2759898668574365,0.7,0.006767790517109182,0.7342882535110373,0.24999999999999994,0.3099575851568274,0.22556713987406518
none,1.0,9,84292,0.273671157097218,0.75,0.005416321217213129,0.6045427222165487,0.24999999999999994,0.11714242763457311,0.16034464017610184
stage1,1.0,9,84292,0.27424924656320193,0.75,0.005413141905344208,0.7108540787055809,0.24999999999999994,0.11852738174406056,0.16032411786461534
stage2,1.0,9,82280,0.28970190189262446,0.75,0.0052471547010971235,0.6263148952709559,0.24999999999999994,0.07855904058347553,0.13604690571947187
both,1.0,9,82280,0.2896164828092159,0.75,0.005255359841401115,0.5918797177958653,0.24999999999999994,0.07948616499474079,0.1360623363708407
none,1.5,0,84556,0.3047621282160289,0.825,0.004654453855810763,0.5398994312233026,0.24999999999999994,0.2012759503188348,0.1708150065719414
stage1,1.5,0,84556,0.30610556390181626,0.825,0.004630539789629305,0.5464560863416896,0.24999999999999994,0.20318288310695282,0.1708150065719414
stage2,1.5,0,83171,0.3082711241865849,0.825,0.004574531362338814,0.5251207092151713,0.24999999999999994,0.17588857401321972,0.1525679174200122
both,1.5,0,83171,0.3106143108020142,0.825,0.004563153874784483,0.5275425241054875,0.24999999999999994,0.17844710698596042,0.1526257106905563
none,1.5,1,85585,0.2922200766304904,0.75,0.007800889130091654,0.4823814214772068,0.24999999999999994,0.32067828600565296,0.20613151894817114
stage1,1.5,1,85585,0.2952380870903073,0.75,0.007838297058566562,0.4915475287121435,0.24999999999999994,0.32175158363161965,0.20610281223294846
stage2,1.5,1,84032,0.29789113267500766,0.75,0.007670795722176602,0.5460326021349423,0.24999999999999994,0.2987725411360248,0.1874869793888293
both,1.5,1,84032,0.30002275844317583,0.75,0.007733049528712889,0.5168654917409624,0.24999999999999994,0.29988088083661824,0.18761325193042638
none,1.5,2,83903,0.3025882549721944,0.7,0.005083524418409988,0.5458148440336065,0.24999999999999994,0.04675758632061822,0.1265464124867808
stage1,1.5,2,83903,0.30422431242651704,0.7,0.005085336213725593,0.5591592974388624,0.12499999999999997,0.050473040296128424,0.12654641248678067
stage2,1.5,2,82365,0.31194972020292355,0.7,0.005033281616700229,0.6469546458920642,0.24999999999999994,0.014669375838028232,0.10669732700364078
both,1.5,2,82365,0.31290227316646024,0.7,0.005032527084418212,0.6430297848152386,0.12499999999999997,0.018603208731824812,0.10661583017349777
none,1.5,3,86113,0.2758568000494935,0.7,0.003107604377408216,0.5083536897114372,0.24999999999999994,0.3343786900467538,0.2394908747021174
stage1,1.5,3,86113,0.2778317243409025,0.7,0.003105007570514449,0.5406049537321238,0.24999999999999994,0.3426679752261438,0.23947225543921308
stage2,1.5,3,84876,0.27750452412911264,0.7,0.0030110692726818536,0.45317374505572083,0.24999999999999994,0.3153151058746025,0.22262884196713376
both,1.5,3,84876,0.2795432089600329,0.7,0.0030031058665298226,0.47089862768325425,0.24999999999999994,0.3235702262418401,0.22265597556925193
none,1.5,4,85069,0.3023429958775624,0.75,0.0046331283749750036,0.49130740255663924,0.24999999999999994,0.11923552440712251,0.14685094201654242
stage1,1.5,4,85069,0.3046475243791718,0.75,0.0046200943768292,0.5611038275443834,0.24999999999999994,0.12615633640410795,0.14680980775921507
stage2,1.5,4,83593,0.3051843784385911,0.75,0.004546207914160013,0.5121160690414688,0.24999999999999994,0.08919658039973925,0.12685310263788502
both,1.5,4,83593,0.3069798931495162,0.725,0.004545540125263236,0.5239290448011446,0.24999999999999994,0.09709850305503137,0.12685978396115483
none,1.5,5,87237,0.24385157445177766,0.725,0.008646474505211377,0.5418937419988339,0.12499999999999997,0.5221198096386307,0.3247858576231636
stage1,1.5,5,87237,0.24684388660159517,0.725,0.008856631713216517,0.4741665784873061,0.12499999999999997,0.5247530145588323,0.32475850852698607
stage2,1.5,5,85848,0.26555916218180387,0.725,0.008565598365135946,0.538639708908638,0.12499999999999997,0.5095669854534888,0.3103669417515513
both,1.5,5,85848,0.26470883654992505,0.725,0.00886252805200359,0.5047198551696804,0.12499999999999997,0.51115858252402,0.3102361385803026
none,1.5,6,84756,0.28802770262442595,0.825,0.004009020810754177,0.596694113076626,0.24999999999999994,0.2695483077715394,0.21041860325646222
stage1,1.5,6,84756,0.28938594976679577,0.8,0.0040301577394347855,0.643884819591103,0.24999999999999994,0.27101860925162863,0.21041860325646236
stage2,1.5,6,83053,0.29899954219206565,0.825,0.003918573033286116,0.5495236432512354,0.24999999999999994,0.24344398367178774,0.1908604042161422
both,1.5,6,83053,0.2989899999312789,0.8,0.0039200649046255195,0.6446942525425526,0.24999999999999994,0.2453084802040034,0.19075694346525804
none,1.5,7,86708,0.2722600976807562,0.775,0.0030049097913377744,0.42503099953700435,0.12499999999999997,0.3152196200857542,0.20324998209104975
stage1,1.5,7,86708,0.27520383605587423,0.775,0.00287842687007991,0.4658664176807489,0.24999999999999994,0.3155287594846363,0.20320078687626836
stage2,1.5,7,85198,0.2843353463698802,0.775,0.00263923599394165,0.5045435577437738,0.12499999999999997,0.2934597731744733,0.1850235456184745
both,1.5,7,85198,0.285895895147525,0.775,0.0025532177505561294,0.4452248038614544,0.24999999999999994,0.29403914723050417,0.18499606804654833
none,1.5,8,84708,0.27883251698097317,0.75,0.003976272829665506,0.5680419491279148,0.24999999999999994,0.18269345790749122,0.17398883065003024
stage1,1.5,8,84708,0.28029035024149407,0.775,0.003960336337758749,0.5539910750549654,0.24999999999999994,0.18390844380040708,0.17397672231326988
stage2,1.5,8,83041,0.2903289637009751,0.775,0.0038315092875914987,0.5461248182253633,0.24999999999999994,0.1534501151531866,0.15369163925819182
both,1.5,8,83041,0.29045876185039765,0.75,0.0038065039906814077,0.521448576036362,0.24999999999999994,0.15523845302391479,0.1536443886473981
none,1.5,9,84955,0.2931351970955325,0.775,0.004355658392814677,0.5390406541333326,0.24999999999999994,0.26018042103384964,0.18594892555173645
stage1,1.5,9,84955,0.29459350165816217,0.775,0.004362615706602559,0.5056020023962066,0.24999999999999994,0.26234965477044553,0.18593553672484162
stage2,1.5,9,83336,0.29788756496950003,0.775,0.004281574833157771,0.573242135849767,0.24999999999999994,0.2347287653846851,0.16548777877134405
both,1.5,9,83336,0.3001103223717132,0.775,0.004274964233681964,0.6845695931242533,0.24999999999999994,0.23567291409499674,0.16531258086495632
none,2.0,0,86204,0.28761070029912894,0.825,0.003034433480143264,0.3899850530185412,0.24999999999999994,0.39994277215982843,0.2111533224897295
stage1,2.0,0,86204,0.2904438583026702,0.825,0.0031298863316224406,0.44962575013016975,0.24999999999999994,0.40027915425607724,0.2111373060776326
stage2,2.0,0,84936,0.2941103914727202,0.825,0.002809127092667679,0.3981206493316052,0.24999999999999994,0.3832121480613097,0.19524688084165215
both,2.0,0,84936,0.295033117864814,0.825,0.002965527375442382,0.5033970026256978,0.12499999999999997,0.38382450034993937,0.1952748997022342
none,2.0,1,87190,0.2707823224462133,0.825,0.003367412199354465,0.4484721165118657,0.24999999999999994,0.44597557846275404,0.22313386119324127
stage1,2.0,1,87190,0.2737272261018168,0.825,0.0034530104301959824,0.4624901679723235,0.24999999999999994,0.4462870542941839,0.2231305493020719
stage2,2.0,1,85966,0.28059615865462306,0.825,0.003186060726342059,0.4923245875692851,0.24999999999999994,0.43185469528428755,0.20826625040619148
both,2.0,1,85966,0.2828970605162798,0.8,0.003227690142954423,0.4514896238326852,0.24999999999999994,0.4321623236842375,0.20834700059867858
none,2.0,2,84769,0.2765528126665304,0.675,0.003927962057670711,0.5495511164241841,0.12499999999999997,0.2759912782551112,0.24850823194919935
stage1,2.0,2,84769,0.2780555763185406,0.7,0.00391457091026048,0.523983214425371,0.12499999999999997,0.2844557445959722,0.24849205366500968
stage2,2.0,2,83506,0.2949434374947221,0.675,0.003880215830141574,0.6162879472307977,0.24999999999999994,0.25631536433220314,0.234610220405323
both,2.0,2,83506,0.297972090685718,0.675,0.00385104362159605,0.543943984446812,0.12499999999999997,0.26534207752006106,0.23464055654871985
none,2.0,3,85637,0.30534435003612276,0.725,0.0030281723193130257,0.4421431210690207,0.24999999999999994,0.2679732727001273,0.19908680700335302
stage1,2.0,3,85637,0.3071693095097509,0.725,0.002992498876802622,0.44257219709699885,0.24999999999999994,0.27260568323384443,0.19907663295024527
stage2,2.0,3,84434,0.3090781667421328,0.725,0.0029698984788439752,0.5480070371210671,0.24999999999999994,0.24812901675677101,0.18375384003282846
both,2.0,3,84434,0.31111122644557876,0.7,0.002911508029367067,0.46932793668787953,0.24999999999999994,0.2523792217372108,0.1836876291925023
none,2.0,4,85844,0.2547851948167593,0.8,0.010887213990301334,0.44657154378159647,0.24999999999999994,0.5413039877133913,0.30970790103657897
stage1,2.0,4,85844,0.25618741642672505,0.8,0.011198154363996519,0.41963994348534517,0.24999999999999994,0.5436538607507467,0.3096938196229946
