dataset,eps,intra_ratio,inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.1,0.1,0,0.1945667061028248,0.045454545454545456,0.02016816171304481,4.7732032498212895,0.3636363636363636,0.11540160530813699,0.21050116242102115,5418
Chamelon,0.5,0.1,0.1,1,0.20477230278544203,0.09090909090909091,0.042083133934362166,4.84904269977576,0.0909090909090909,0.24810940746265744,0.15923866672150322,5432
Chamelon,0.5,0.1,0.1,2,0.23933555747745136,0.09090909090909091,0.042219363178893306,3.8595650042059018,0.0909090909090909,0.144528238963119,0.12819679185833133,7438
Chamelon,0.5,0.1,0.1,3,0.23938359064867104,0.22727272727272727,0.04087249125627456,3.560471533827273,0.0,0.19913533774779477,0.11009231319308285,7352
Chamelon,0.5,0.1,0.1,4,0.21186684555991728,0.13636363636363635,0.04440751523138077,4.259075707187977,0.0,0.09386459407203586,0.1899565019626337,6294
Chamelon,0.5,0.1,0.2,0,0.18637884570848143,0.22727272727272727,0.04598079851440259,4.717211679694552,0.2727272727272727,0.11882202085064282,0.1665314168862835,5401
Chamelon,0.5,0.1,0.2,1,0.19751991876820302,0.09090909090909091,0.05836193780099221,4.672116876106177,0.3636363636363636,0.19895232242071262,0.2001343523579968,5267
Chamelon,0.5,0.1,0.2,2,0.19485489400223502,0.18181818181818182,0.06218288632847946,4.677282481724249,0.0909090909090909,0.14070254643707694,0.20514261712033874,5167
Chamelon,0.5,0.1,0.2,3,0.20934625834243092,0.09090909090909091,0.046331903166702035,3.849018826981479,0.0909090909090909,0.12258489169741411,0.14712517311487897,6324
Chamelon,0.5,0.1,0.2,4,0.20171482871861743,0.09090909090909091,0.044713786007550854,4.391659262322214,0.0909090909090909,0.1780079336740469,0.16228860092905717,6492
Chamelon,0.5,0.1,0.3,0,0.1916968455153832,0.045454545454545456,0.02193840505657584,4.506696870833582,0.0909090909090909,0.1144656057730938,0.17393417443466777,5743
Chamelon,0.5,0.1,0.3,1,0.20895347716521903,0.09090909090909091,0.029285733869106115,3.1404132112019294,0.0,0.19973456665632544,0.05029342913693356,8124
Chamelon,0.5,0.1,0.3,2,0.18943513691020417,0.13636363636363635,0.03687254641034587,4.210734913400075,1.1818181818181817,0.1583479412243585,0.17632733620168164,5622
Chamelon,0.5,0.1,0.3,3,0.20338404439017488,0.13636363636363635,0.051108219801872815,4.327669833843138,0.0909090909090909,0.18496843359982112,0.17624967825709834,5434
Chamelon,0.5,0.1,0.3,4,0.18978716002403637,0.18181818181818182,0.0413115273309054,4.599410751066193,0.0909090909090909,0.11252244624128999,0.19722722484088387,5935
Chamelon,0.5,0.1,0.4,0,0.1985892882476529,0.2727272727272727,0.046417416272990765,4.11982195817826,0.0,0.2248952176954924,0.11626496903380032,6367
Chamelon,0.5,0.1,0.4,1,0.20025196388778096,0.2727272727272727,0.039660819487894884,3.712915010826288,0.0,0.1705656793886177,0.10653042505981172,6819
Chamelon,0.5,0.1,0.4,2,0.17679930536371524,0.09090909090909091,0.04226936082113848,4.5153861594815385,0.0,0.16002365511513642,0.20812845972804958,5439
Chamelon,0.5,0.1,0.4,3,0.18669342011176396,0.22727272727272727,0.057110787390373875,3.946202823832426,0.0,0.146409904072495,0.17601129709457772,6207
Chamelon,0.5,0.1,0.4,4,0.18354864853382813,0.3181818181818182,0.039877958789765855,3.955102385709013,0.1818181818181818,0.14402300996786324,0.11318333476766645,6508
Chamelon,0.5,0.1,0.5,0,0.16640635817673458,0.09090909090909091,0.057573676883499944,4.7449908386025275,0.4545454545454545,0.26138712260734903,0.21587857624325246,5131
Chamelon,0.5,0.1,0.5,1,0.1881648042374078,0.3181818181818182,0.026488351251524687,3.381619697740218,0.1818181818181818,0.10602103272027318,0.0206224835551684,8370
Chamelon,0.5,0.1,0.5,2,0.19389249511987336,0.13636363636363635,0.04899477103978595,3.796537016011502,0.1818181818181818,0.2171431382176024,0.18626827954270186,6315
Chamelon,0.5,0.1,0.5,3,0.2021838191242535,0.09090909090909091,0.03730553645238203,3.5037235174729497,0.0,0.2077316963744979,0.1368255276571682,7228
Chamelon,0.5,0.1,0.5,4,0.19731764239197333,0.18181818181818182,0.04271665704504677,3.886567324704612,0.1818181818181818,0.20670919263036625,0.1286831396285491,6821
Chamelon,0.5,0.1,0.6,0,0.16318196838163404,0.18181818181818182,0.02835138494566923,4.282310868106311,0.0,0.08517680980569586,0.21856733155393257,5954
Chamelon,0.5,0.1,0.6,1,0.17601254500752753,0.045454545454545456,0.03924641050066954,4.634114735071934,0.0909090909090909,0.22095943633584153,0.18871493103782394,5441
Chamelon,0.5,0.1,0.6,2,0.19201952919154425,0.13636363636363635,0.04263141696256709,4.152763162139205,0.0,0.1949336185183776,0.16728981898481063,6505
Chamelon,0.5,0.1,0.6,3,0.20010547310702614,0.3181818181818182,0.04451801731996608,3.555278063165627,0.0,0.1236040333606398,0.15127354900523332,7584
Chamelon,0.5,0.1,0.6,4,0.1795269314499694,0.22727272727272727,0.052997897284692085,4.396690845511069,0.0,0.16789874802119933,0.18297232005837352,5769
Chamelon,0.5,0.1,0.7,0,0.19470576060383532,0.3181818181818182,0.04339862583409162,3.688214161023371,0.0909090909090909,0.03537179760755495,0.1395783338266287,6760
Chamelon,0.5,0.1,0.7,1,0.18155417651352204,0.5454545454545454,0.049139129982701195,3.4466681544684024,0.6363636363636362,0.05584277175904137,0.11652863702075926,6141
