method,eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
PrivGraph,0.5,0,0.040498196294640076,0.15833333333333333,0.03379780279212694,12.684651913208288,0.6153846153846153,0.9628318894579214,0.6219203573192738,117002
PrivGraph,0.5,1,0.0368619389459201,0.3,0.02791803813468928,14.377437162390493,0.6153846153846153,0.9526661690842636,0.6013275999743799,118186
PrivGraph,0.5,2,0.03932725774748869,0.175,0.029808016270520977,17.422110959874768,0.6153846153846153,0.9602825136394733,0.6057307310428841,118390
PrivGraph,0.5,3,0.03603744654384833,0.15833333333333333,0.026164702785667404,15.903226680130148,0.6153846153846153,0.9596260128579911,0.6155542558122643,117904
PrivGraph,0.5,4,0.0386870218093926,0.15833333333333333,0.03492516431739352,16.153021318618364,0.6153846153846153,0.9654126043106491,0.6276377139641672,117231
PrivGraph,0.5,5,0.03837541156928172,0.4166666666666667,0.030667248518490498,8.470388555185131,0.6153846153846153,0.9011825948857193,0.5831484865045888,118032
PrivGraph,0.5,6,0.03662601530220208,0.175,0.030183465888481944,12.509825845433324,0.6153846153846153,0.9543524390991963,0.6049223403404335,117997
PrivGraph,0.5,7,0.03970409768422016,0.15,0.022260245896047873,16.106620908429967,0.6153846153846153,0.9631370062549846,0.6231911621156755,117956
PrivGraph,0.5,8,0.03853188498225138,0.125,0.017769277225595962,18.381752517817297,0.6153846153846153,0.9634668636801235,0.6218624431718078,116260
PrivGraph,0.5,9,0.03795095948139109,0.21666666666666667,0.0329184893868844,15.838442029243417,0.6153846153846153,0.9594080687033268,0.6142056854415725,116981
PrivGraph,1.0,0,0.05544774883225184,0.775,0.004631722380594174,3.3933975369400136,0.5384615384615384,0.2988776306321478,0.4313668067851393,117379
PrivGraph,1.0,1,0.04523923764130997,0.5833333333333334,0.019222487608995878,11.991050482842686,0.6153846153846153,0.6466630250440125,0.552398286971136,117804
PrivGraph,1.0,2,0.05491991367400661,0.9166666666666666,0.0026119187729421087,2.4156976468119313,0.46153846153846145,0.404558270407862,0.4064379250845002,117429
PrivGraph,1.0,3,0.05328957674855242,0.85,0.0020016638956827245,3.587608790555137,0.5384615384615384,0.22576737430638613,0.407529675534861,116387
PrivGraph,1.0,4,0.05324673662093186,0.9083333333333333,0.002752796833075073,2.399364685321359,0.5384615384615384,0.3928918052904094,0.39421743388753266,117417
PrivGraph,1.0,5,0.05574400911509182,0.75,0.005164785536060582,3.4578133837183977,0.5384615384615384,0.34953798260085517,0.4486197231557805,118901
PrivGraph,1.0,6,0.051105673767809175,0.9083333333333333,0.0025706197360999697,2.405286278527333,0.5384615384615384,0.38984731280531937,0.4117312458276845,117802
PrivGraph,1.0,7,0.05541469153101158,0.875,0.002103301111433244,3.124803720610417,0.5384615384615384,0.23204232560121274,0.3973609899125236,116603
PrivGraph,1.0,8,0.05010098388505503,0.7166666666666667,0.010634751640308733,3.500074672282741,0.5384615384615384,0.48902622239842863,0.4847228516664036,117412
PrivGraph,1.0,9,0.045932429484273396,0.7,0.00921593167097664,3.3474533408486717,0.5384615384615384,0.5336569531723411,0.4673875868539668,117461
PrivGraph,1.5,0,0.05352554678718496,0.95,0.0032620332543009944,1.8597951750443116,0.46153846153846145,0.46435371251284135,0.3873488043665934,117403
PrivGraph,1.5,1,0.052764350493644425,0.9416666666666667,0.003557909350052414,1.8647190516479268,0.46153846153846145,0.49224170599333966,0.3925890069678319,117013
PrivGraph,1.5,2,0.05675049806839802,0.9666666666666667,0.0034434677017347827,1.5460363900383196,0.46153846153846145,0.5140837965363391,0.38996960186921353,117167
