inter_ratio,exper,eps,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges,edge_ratio,comm_n,mod_raw
0.05,0,1.5,0.4120976045784159,0.9666666666666667,0.0015969094978227872,1.7481890251011325,0.3846153846153846,0.3133209108058985,0.0350001395658302,110497,0.9326,9,0.639365
0.05,1,1.5,0.41270963559160784,0.925,0.0009954340245637327,1.7470360844707122,0.30769230769230765,0.1960005597109799,0.023766051081317522,109158,0.9213,10,0.678301
0.05,2,1.5,0.40750472245733826,0.9583333333333334,0.0028990498384797365,1.4422380616082768,0.30769230769230765,0.4299568419412603,0.10136665237164533,115201,0.9723,7,0.595394
0.05,3,1.5,0.40849016193387894,0.9666666666666667,0.0019723838842606385,1.5417490797195794,0.3846153846153846,0.34463633585905634,0.036210555989632534,113175,0.9552,8,0.638563
0.05,4,1.5,0.4054891470923846,0.95,0.0029377725325667454,1.636468226542369,0.3846153846153846,0.4879397151535502,0.16043419113608998,115795,0.9773,6,0.556258
0.1,0,1.5,0.3810878065834133,0.9583333333333334,0.0033369812520982578,1.4864292521696643,0.07692307692307691,0.46969000622017787,0.1677815447773167,113331,0.9565,9,0.55139
0.1,1,1.5,0.3760424463218449,0.95,0.0018536692256578085,1.3789412890394144,0.23076923076923073,0.41136443895697195,0.10036155381620468,115680,0.9763,7,0.59606
0.1,2,1.5,0.37943983223040384,0.95,0.0025115029764280635,1.4422685837626434,0.30769230769230765,0.4091405011690333,0.09589497783129007,113850,0.9608,8,0.599019
0.1,3,1.5,0.3776644503337092,0.95,0.0016509916109742266,1.3362320122651623,0.30769230769230765,0.370341128817108,0.07000798419930174,112374,0.9484,7,0.61617
0.1,4,1.5,0.3749415094055218,0.975,0.001504045559856501,1.4027933861116568,0.30769230769230765,0.38612100429918583,0.08067399345864022,114287,0.9645,7,0.609104
0.15,0,1.5,0.35072275626940713,0.95,0.0021474422042051773,1.23730458141395,0.15384615384615383,0.38030785935488753,0.09442735157514953,111672,0.9425,8,0.599991
