dataset,scheme,e1_r,e2_r,e3_r,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,comm_n,time_sec,timestamp
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,1,0.341070989176577,0.7023809523809523,0.005293177156338353,1.3736982491297947,0.0,2.018938672689395,0.29190116024750196,167342,12,362.76,2026-05-12 10:03:24
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,2,0.3283472857445198,0.5595238095238095,0.007899348398721615,1.491568589911695,0.15384615384615383,3.4482954723010337,0.4077337836704928,144611,18,380.38,2026-05-12 10:03:41
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,0,0.3421085925440296,0.6160714285714286,0.005872775511556159,1.434849727293827,0.0,2.6313368877053347,0.33086743791229223,155717,14,386.4,2026-05-12 10:03:47
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,3,0.3467282707078265,0.6369047619047619,0.005779802951587166,1.414603436339329,0.23076923076923073,2.4500540629291656,0.26891575244914306,150911,14,132.58,2026-05-12 10:05:36
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,4,0.3516047283022499,0.7976190476190477,0.004202247771305795,1.4814124082922702,0.07692307692307691,2.031104135023833,0.16482006903667534,160570,14,345.09,2026-05-12 10:09:26
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,5,0.3233192515634288,0.40476190476190477,0.008448513584173303,1.4882344797110925,0.15384615384615383,3.4182334879676,0.4584308432042534,146679,18,369.16,2026-05-12 10:09:56
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,6,0.33884790822150646,0.5476190476190477,0.00591140115131603,1.3487611067569285,0.0,2.1970010544553586,0.34092081495779425,163302,13,292.01,2026-05-12 10:10:28
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,7,0.3496814041091745,0.8125,0.004808065591943335,1.4154989565432996,0.07692307692307691,2.025141241058674,0.22742888979326994,167983,12,132.96,2026-05-12 10:11:39
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,8,0.353580690431293,0.7738095238095238,0.004039313942131815,1.4850446607785228,0.07692307692307691,1.9564573062892272,0.15937818322623215,162228,13,138.51,2026-05-12 10:12:15
Enron,A_default,0.3333333333333333,0.3333333333333333,0.3333333333333334,2.0,9,0.35432518498179894,0.7857142857142857,0.0041963574262823605,1.4496511554900606,0.0,2.0534674486919773,0.14509963384857075,161564,13,135.06,2026-05-12 10:12:43
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,0,0.35612991683258693,0.6666666666666666,0.004394709342538899,1.606701831826485,0.07692307692307691,2.512527191990314,0.1213000120648999,122853,18,129.54,2026-05-12 10:13:49
Enron,B_aggressive,0.2,0.6,0.20000000000000007,2.0,1,0.3538855254104167,0.6934523809523809,0.005226609571491766,1.6362841915017567,0.07692307692307691,2.7835925173621052,0.26377274167859327,144486,16,129.06,2026-05-12 10:14:24
