dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,privgraph,0.5,0,0.017467137709626997,0.18181818181818182,0.01382379307978039,12.419582528523513,0.6363636363636362,0.8066108838971473,0.6297581521017912,30702,7.22,2026-05-11 00:30:40
Chamelon,privgraph,0.5,1,0.020814661330429043,0.2727272727272727,0.018539930719329106,13.916206870315808,0.6363636363636362,0.8103407121824595,0.6227658910016374,30930,7.54,2026-05-11 00:30:48
Chamelon,privgraph,0.5,2,0.013121362122362215,0.045454545454545456,0.021914225875589582,14.505717328235757,0.6363636363636362,0.8476861095142026,0.6617146551348986,30602,6.32,2026-05-11 00:30:54
Chamelon,privgraph,0.5,3,0.02026632444849843,0.5909090909090909,0.028479738944915515,12.903003271302119,0.6363636363636362,0.7930812800227098,0.6617993987901026,30192,3.84,2026-05-11 00:31:58
Chamelon,privgraph,0.5,4,0.013363702382564952,0.3181818181818182,0.01455922373777941,14.823263651216124,0.6363636363636362,0.8251617618218935,0.6486891813291263,31074,4.24,2026-05-11 00:32:03
Chamelon,privgraph,0.5,5,0.020039108354110994,0.09090909090909091,0.024360453943044456,13.676573890739043,0.6363636363636362,0.8668670298519627,0.6757632636896146,30523,4.44,2026-05-11 00:32:07
Chamelon,privgraph,0.5,6,0.014294750111543643,0.045454545454545456,0.03245017723889462,13.809102562854973,0.6363636363636362,0.8598547002488303,0.6675111992002665,30656,3.9,2026-05-11 00:32:11
Chamelon,privgraph,0.5,7,0.01341466914412754,0.09090909090909091,0.02434179004418088,12.756685952080273,0.6363636363636362,0.8643282677131962,0.6687321569199919,30445,4.1,2026-05-11 00:32:15
Chamelon,privgraph,0.5,8,0.01208345900395292,0.4090909090909091,0.026155024718055777,15.049278256583325,0.6363636363636362,0.8366007236459446,0.6395340961529921,31301,3.87,2026-05-11 00:32:19
Chamelon,privgraph,0.5,9,0.014461753853298297,0.22727272727272727,0.027760816030070037,13.73043166742015,0.6363636363636362,0.8438136300432684,0.6547831052618934,30774,4.07,2026-05-11 00:32:23
